0,1601184058.4386835
15,0.0001
0,1601184077.0067456
15,0.0001
15,0.0001
15,0.0001
0,1601183459.374419
1,1601185612.1825526
5,1601185627.838448
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
2,1601185681.1024945
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
14,1601185643.7343574
1,1601184172.4222028
15,0.0001
15,0.0001
0,1601185733.854512
15,0.0001
15,0.0001
15,0.0001
2,1601185739.806852
8,1601185621.8211038
15,0.0001
15,0.0001
0,1601185723.926944
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
14,1601185688.0788937
15,0.0001
15,0.0001
15,0.0001
1,1601185700.1745853
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
0,1601182998.5830634
2,1601185690.8470519
14,1601185678.2223299
14,1601185617.03083
15,0.0001
8,1601185646.7265282
15,0.0001
15,0.0001
15,0.0001
15,0.0001
15,0.0001
0,1601183354.8544407
5,1601185591.982397
0,1601183308.630797
15,0.0001
15,0.0001
15,0.0001
15,0.0001
5,1601185649.9107106
0,1601183407.6374598
1,1601185684.3376796
15,0.0001
15,0.0001
0,1601183891.5581384
2,1601185653.7029274
5,1601185713.3503392
0,1601185745.53418
15,0.0001
14,1601185705.8709111
2,1601185633.7847881
15,0.0001
15,0.0001
0,1601184003.0145135
2,1601185717.5585797
15,0.0001
15,0.0001
